NCI:C84745	UMLS:C0917715
NCI:C84746	UMLS:C0018522
NCI:C84747	UMLS:C0243025
NCI:C84750	UMLS:C0162739
NCI:C87115	UMLS:C0014761
NCI:C92634	UMLS:C0019681
NCI:C94337	UMLS:C0020594
NCI:C9493	UMLS:C0020604
NCI:C98894	UMLS:C0152101
NCI:C99053	UMLS:C0344963
NCI:C27351	UMLS:C1334156
NCI:C27874	UMLS:C0272187
NCI:C3380	UMLS:C0037926
NCI:C34723	UMLS:C0021122
NCI:C34731	UMLS:C0021830
NCI:C34854	UMLS:C0028326
NCI:C35046	UMLS:C0038587
NCI:C35840	UMLS:C1334256
NCI:C40435	UMLS:C1609433
NCI:C5106	UMLS:C1334228
NCI:C74996	UMLS:C0431399
NCI:C74997	UMLS:C1846790
NCI:C75457	UMLS:C0795841
NCI:C75483	UMLS:C0271091
NCI:C82343	UMLS:C0022104
NCI:C84781	UMLS:C0751757
NCI:C84792	UMLS:C1096100
NCI:C84793	UMLS:C0022387
NCI:C84794	UMLS:C0265275
NCI:C85043	UMLS:C0034960
NCI:C93210	UMLS:C1290884
NCI:C94332	UMLS:C0021776
NCI:C98956	UMLS:C0270217
NCI:C35063	UMLS:C0039437
NCI:C35066	UMLS:C0039496
NCI:C35074	UMLS:C0040336
NCI:C35498	UMLS:C0600327
NCI:C85183	UMLS:C0039319
NCI:C85188	UMLS:C0039984
NCI:C85193	UMLS:C0040381
NCI:C98609	UMLS:C0270173
NCI:C99038	UMLS:C0175703
NCI:C99080	UMLS:C0080218
NCI:C99085	UMLS:C0265246
NCI:C102532	UMLS:C0333997
NCI:C107377	UMLS:C1333150
NCI:C26324	UMLS:C1518374
NCI:C26729	UMLS:C0009782
NCI:C26879	UMLS:C0036093
NCI:C27604	UMLS:C1335009
NCI:C2897	UMLS:C0005001
NCI:C2900	UMLS:C0005686
NCI:C2905	UMLS:C0005959
NCI:C2982	UMLS:C0011570
NCI:C2990	UMLS:C0017178
NCI:C3075	UMLS:C0018552
NCI:C3223	UMLS:C0025184
NCI:C3262	UMLS:C0375111
NCI:C3266	UMLS:C0027672
NCI:C3396	UMLS:C0038833
NCI:C3430	UMLS:C0042075
NCI:C34412	UMLS:C0004775
NCI:C34413	UMLS:C0004812
NCI:C34416	UMLS:C0004943
NCI:C34423	UMLS:C0005586
NCI:C34431	UMLS:C0005750
NCI:C34433	UMLS:C0005956
NCI:C34434	UMLS:C1527168
NCI:C34922	UMLS:C0031212
NCI:C35008	UMLS:C0036391
NCI:C35095	UMLS:C0270075
NCI:C35126	UMLS:C0042790
NCI:C35814	UMLS:C0851353
NCI:C35845	UMLS:C0333990
NCI:C3646	UMLS:C0154129
NCI:C3677	UMLS:C0086692
NCI:C3924	UMLS:C0263579
NCI:C3959	UMLS:C0267792
NCI:C53534	UMLS:C1709253
NCI:C5565	UMLS:C1335410
NCI:C7062	UMLS:C1334935
NCI:C84348	UMLS:C0265316
NCI:C84403	UMLS:C2827432
NCI:C84585	UMLS:C0574083
NCI:C84593	UMLS:C0270851
NCI:C84595	UMLS:C0005129
NCI:C89332	UMLS:C0013473
NCI:C92200	UMLS:C0525045
NCI:C92633	UMLS:C0006012
NCI:C97162	UMLS:C0596170
NCI:C98996	UMLS:C0021290
NCI:C26788	UMLS:C0018203
NCI:C26884	UMLS:C0037315
NCI:C26908	UMLS:C0042161
NCI:C27169	UMLS:C0520680
NCI:C27663	UMLS:C1335014
NCI:C2939	UMLS:C0347493
NCI:C3037	UMLS:C0015674
NCI:C3235	UMLS:C0025517
NCI:C3376	UMLS:C0851578
NCI:C34411	UMLS:C0376378
NCI:C34450	UMLS:C0007286
NCI:C34453	UMLS:C0007459
NCI:C34470	UMLS:C0008626
NCI:C34481	UMLS:C0008728
NCI:C35436	UMLS:C0392548
NCI:C35826	UMLS:C1333636
NCI:C3662	UMLS:C0156369
NCI:C3817	UMLS:C0220722
NCI:C40200	UMLS:C1516413
NCI:C40424	UMLS:C0334087
NCI:C40427	UMLS:C0334090
NCI:C4065	UMLS:C0851689
NCI:C42589	UMLS:C1707390
NCI:C4706	UMLS:C0406815
NCI:C4981	UMLS:C0867389
NCI:C53973	UMLS:C1707377
NCI:C61245	UMLS:C0220748
NCI:C74983	UMLS:C1842870
NCI:C75470	UMLS:C2699198
NCI:C75477	UMLS:C0265493
NCI:C75478	UMLS:C2699200
NCI:C84615	UMLS:C0282577
NCI:C84617	UMLS:C1275081
NCI:C94831	UMLS:C1847319
NCI:C94833	UMLS:C1858592
NCI:C95071	UMLS:C0877792
NCI:C97155	UMLS:C0023015
NCI:C97163	UMLS:C2363919
NCI:C98873	UMLS:C1275078
NCI:C99054	UMLS:C0300948
NCI:C26768	UMLS:C0015423
NCI:C27877	UMLS:C1336895
NCI:C27878	UMLS:C1333621
NCI:C61284	UMLS:C0272126
NCI:C74987	UMLS:C0796068
NCI:C74998	UMLS:C1855681
NCI:C80083	UMLS:C0015934
NCI:C8311	UMLS:C1384410
NCI:C84712	UMLS:C0015773
NCI:C84713	UMLS:C0015923
NCI:C87497	UMLS:C0016053
NCI:C92198	UMLS:C0015480
NCI:C94339	UMLS:C0015786
NCI:C94352	UMLS:C0015269
NCI:C94353	UMLS:C0015957
NCI:C97083	UMLS:C0206067
NCI:C98906	UMLS:C0265374
NCI:C98927	UMLS:C0265372
NCI:C98929	UMLS:C0432364
NCI:C98930	UMLS:C0236026
NCI:C26754	UMLS:C2830004
NCI:C27743	UMLS:C1299699
NCI:C35823	UMLS:C0037997
NCI:C35855	UMLS:C1336083
NCI:C3933	UMLS:C0264255
NCI:C6815	UMLS:C0431346
NCI:C75000	UMLS:C0265554
NCI:C75002	UMLS:C1847622
NCI:C75045	UMLS:C2931019
NCI:C75121	UMLS:C1838652
NCI:C75469	UMLS:C0795864
NCI:C85071	UMLS:C0175694
NCI:C26862	UMLS:C0032460
NCI:C35044	UMLS:C0038531
NCI:C50763	UMLS:C2242671
NCI:C74984	UMLS:C0265253
NCI:C74985	UMLS:C1858084
NCI:C75003	UMLS:C2699746
NCI:C75005	UMLS:C1861367
NCI:C79484	UMLS:C0038325
NCI:C79765	UMLS:C0001396
NCI:C80102	UMLS:C0424000
NCI:C85077	UMLS:C0038165
NCI:C85170	UMLS:C0085292
NCI:C85173	UMLS:C0038644
NCI:C85175	UMLS:C0038828
NCI:C85177	UMLS:C0085077
NCI:C85178	UMLS:C0264395
NCI:C92623	UMLS:C2985218
NCI:C92643	UMLS:C2985226
